talk_id,author,duration,title,description,icon,github_url,twitter_url,blog_url,github_icon_url
101,niboshi,40,"""普通""のWebアプリでWASMを活用する","WebAssembly(WASM)は近年Web以外にも活用の幅を広げており、Perlエコシステムにおいても、Perl処理系をWasmに変換してWeb上で動作させるWebPerlや、PerlからWasmを呼び出すためのCPANモジュールが登場しています。
一方、実プロダクトでの活用シーンの情報はまだまだ少なく、WASM適用がどのようなシチュエーションで有効なのか、イメージが湧きづらい状態です。

このトークでは、株式会社Helpfeelにおける独自記法パーサのWasm実装を例に、""普通""のWebアプリケーションへのWasm適用にトライする中での、適用先の検討、トレードオフ、具体的な活用例などをご紹介します。",mpppk.jpg,https://github.com/mpppk,https://twitter.com/mpppk,https://nibo.sh/,https://avatars.githubusercontent.com/u/4279342?v=4
102,charsbar,40,2023年春のPerl,久しぶりのシリーズ再開ということで、今回はPerl 5.32からそろそろ概要が見えてきている Perl 5.38 までの情報を簡単にまとめていきます。,charsbar.jpeg,,,,
103,三上　烈史（みかみ　つよし）,40,4PB(ペタバイト)を超えるオブジェクトストレージをハードウェアからアプリケーションにかけて運用するノウハウ,"GMOペパボでは、分散オブジェクトストレージを実現できるPerl製のソフトウェアであるMogileFSと、300本以上の大容量のHDDを搭載したオンプレミスなサーバ群を組み合わせて、大規模なオブジェクトストレージを実現しています。
これを活用して、写真共有サービスの30days Albumの写真・動画をホストしたり、さらにS3互換のREST APIを開発してS3ライクに利用できるプライベートオブジェクトストレージとしても利用できるよう拡張してきました。
運用を始めた2008年時点で1TB程度だったオブジェクトストレージは、2023年1月現在では4PBを超えており4000倍以上の規模まで成長しました。

本トークでは、十数年かけて4PBまで成長したオブジェクトストレージをどのように運用してきたのかハードウェアからアプリケーションにかけて横断して紹介します。

アジェンダ
 - MogileFSを利用したオブジェクトストレージのアーキテクチャ
 - キャパシティを意識したストレージのライフサイクル管理
 - サービスの特性を考慮したREST APIの実装
 - S3互換のプライベートオブジェクトストレージのS3移設",rsym.jpg,https://github.com/rsym,https://twitter.com/rsym1290,https://rsym1290.hatenablog.jp/,https://avatars.githubusercontent.com/u/22150870?v=4
104,長野雅広,20,DNS権威サービスへのDDoSとハイパフォーマンスなベンチマーカ,"クラウドファースト、クラウドバイデフォルトなどと言われるようにクラウドサービス前提にシステムの構築運用がなっています。インターネットにおける重要な基盤技術のひとつであるDNSにおいてもクラウドサービスが使われるようになっています。

本トークでは、さくらのクラウドのDNSアプライアンスサービスに行われたDNS水責め攻撃と呼ばれるDDoS攻撃の内容およびその対策について紹介します。また、対策にあたって作成したDNSサーバへ負荷をかけるベンチマーカを題材にハイパフォーマンスなベンチマーカを作る上で必要な要素も紹介します。

アジェンダ
- さくらのクラウド DNSアプライアンスとは(Perlも使っているよ)
- DNS水責め攻撃とその実際
- GoによるハイパフォーマンスなDNSのベンチマーカ作成
- さくらインターネット SRE室の取り組み
",kazeburo.jpg,https://github.com/kazeburo,https://twitter.com/kazeburo,https://kazeburo.hatenablog.com/,https://avatars.githubusercontent.com/u/46764?v=4
105,天野 卓,20,honoの3+1のルーターと、そこにつながるPRがプロジェクトにもたらしたもの,"超軽量のウェブフレームワークであるhonoにおいて、高速な動作を中心で支えているのがルーターです。
honoは現在、内部では3つのルーターの実装を持っていますが、構築したアプリケーションのルーティングに応じてそこから自動で選択されて、実行時には最適な1つが利用されるようになっています。

発表の前半では3つのルーターの紹介と、そこから1つが選択される仕組みについてお話します。

後半では、ルーターの実装が追加されていった経緯と、そこにつながるPRがOSSとしてのhonoになにをもたらしたかについて、PR作成者側の視点で感じたことをお話します。",usualoma.jpg,https://github.com/usualoma,https://twitter.com/usualoma,https://blog.taaas.jp/,https://avatars.githubusercontent.com/u/30598?v=4
106,Pasta-K,20,JavaScriptのASTと戯れる,"Perl Mongerの皆さんもウェブアプリケーション開発を行う上で切っても切り離せないものの1つがJavaScriptかと思います。皆さんも聞き馴染みがあるであろうESLintやBabelやWebpack、esbuildやPrettierやTypeScriptなどなどあらゆるJavaScript関連のツールは内部的にJavaScriptのASTを操作し、それらを組み合わせることで成果物を生成しています。

このトークではJavaScript(ECMAScript)を扱う上でのASTの概要について紹介した後に、実際にハンズオン形式でASTを利用したJavaScriptのソースコードの変換や生成の片鱗を体験していただけるような構成になる予定です。

※ ASTとは何かという話であったり、AST自体の詳細に踏み込んだりなどはしない予定であくまで「戯れる」ことがメインの発表になるかと思います",pastak.jpg,https://github.com/pastak,https://twitter.com/pastak,https://blog.pastak.net/,https://avatars.githubusercontent.com/u/191533?v=4
107,catatsuy,20,llsとcachectlから学ぶ、Goでシステムプログラミングをする方法,"PerlのCPANモジュールのSys::PageCacheはLinux上のページキャッシュを調整したい時に使われてきました。このようにシステムプログラミングが必要な場面でPerlが使われることがよくありました。
しかし最近はSys::PageCacheの代替として使えるGo製のcubicdaiya/cachectlのようにGoで作られる事例も出てきています。
cubicdaiya/cachectlは元々cgoを使ってシステムコールをC言語経由で実行していましたが、以前私がpure Go実装に書き変えています。
また大量のファイルが置かれているディレクトリに対しても利用できるlsとして、私が作ったllsもGoからシステムコールのgetdents64を直接呼び出すことで、pure Goで実装しています。
そこで本発表ではGoでシステムプログラミングをする方法について、私が経験したことをベースにお話しします。
参考：
https://developers.prtimes.jp/2021/09/15/decommissioning_old_storage_list_a_dir_29million/
https://github.com/catatsuy/lls
https://github.com/cubicdaiya/cachectl
",catatsuy.jpg,https://github.com/catatsuy,https://twitter.com/catatsuy,https://www.catatsuy.org/,https://avatars.githubusercontent.com/u/1249910?v=4
108,井手優太,20,my new error...,try catch に一家言あり最近 https://blog.ojisan.io/my-new-error/ というブログを書きました。この記事ではResult型の導入やエラー監視ツールにデバッグ可能なログを出させる技術について解説をし、自分の考える理想のエラーハンドリングを書きました。しかし職場の7年物の既存実装に正しいエラーハンドリングを持ち込むのは難しかったです。そこで本セッションでは理想のエラーハンドリングプラクティスやそれを支える要素技術について解説し、現場でどうやって段階的にエラーハンドリングや監視体制を改善していけたかという話をします。,sadnessOjisan.jpg,https://github.com/sadnessOjisan,https://twitter.com/sadnessOjisan,https://blog.ojisan.io,https://avatars.githubusercontent.com/u/13712715?v=4
109,Dan Kogai,20,my$talk=qr{\b((?:ir)?reg(?:ular )?exp(?:ressions?)?)\b}ig;,"正規表現。Perlが最も愛されそして(不当にも)憎まれる理由の一つ。しかし今や正規表現をサブ言語として持つ言語はPerlに限りません。本talkではこの最も人気のある言語内言語に関して(再び)時間が許す限り型って、もとい語っていきます。

* regexp? what is it?
* $supported_by ~~ @most_major_languages;
  * but how (much)?\?
    * Unicode support?
    * assertions?
    * modifiers?
* use CPAN;
  * Regexp::Assemble;
  * Regexp::Common;
* Irregular expressions
  * qr{(func?(?:tion)(\(((?:(?>[^()]+)|(?2))*)\)))}
* (ir)?regular questions (?:from|by) the audience
* ReDOS - Regexp considered harmful!?",dankogai.jpg,https://github.com/dankogai,https://twitter.com/dankogai,https://dankogai.livedoor.blog,https://avatars.githubusercontent.com/u/68812?v=4
110,Takafumi ONAKA,40,ORM - Object-relational mapping,"タイトルは [Kyoto.pm Tech Talks #01](http://kyotopm.github.io/) リスペクトです。

はてなの Perl プロダクトは薄いフレームワークを志向して、データベースとのやり取りに DBIx::Sunny や DBIx::Handler::Sunny を用い、主に SQL を書いて暮らしていました。最近、私はこの世界に ORM を持ち込みました。
PofEAA によるデータソースのアーキテクチャの 4 分類、我々が何を考えてどのパターンを選んだか、必要になって書いたプラグイン等、ORM の無い世界に ORM を入れていくに当たって考えたことと、その実践。
Perl Monger なら一生に一度は書くといわれる ORM を書いていく様子を、Rails の ActiveRecord に慣れ親しんだ現代の目線も交えつつお送りします。",onk.jpg,https://github.com/onk,https://twitter.com/onk,https://onk.hatenablog.jp/,https://avatars.githubusercontent.com/u/203046?v=4
